temperature,humidity,voc,ammonia,alcohol,timestamp,stage,cycle_id
33.1,63.3,355,1054,590,27-09-2025 09:51,Fresh,1
33.3,63.3,337,1039,563,27-09-2025 09:56,Fresh,1
34,63,336,1051,586,27-09-2025 10:01,Fresh,1
34.3,62.5,340,1077,576,27-09-2025 10:06,Fresh,1
34.5,62.3,352,1129,581,27-09-2025 10:12,Fresh,1
34.5,62.2,353,1077,577,27-09-2025 10:17,Fresh,1
34.6,62.2,359,1084,576,27-09-2025 10:22,Fresh,1
34.6,62.2,357,1088,576,27-09-2025 10:27,Fresh,1
34.7,62.3,354,1103,576,27-09-2025 10:32,Fresh,1
34.7,62.9,363,1152,581,27-09-2025 10:37,Fresh,1
34.7,62.3,371,1157,579,27-09-2025 10:42,Fresh,1
34.7,62.4,377,1154,583,27-09-2025 10:47,Fresh,1
34.7,63.2,380,1157,577,27-09-2025 10:52,Fresh,1
34.7,62.5,382,1172,582,27-09-2025 10:57,Fresh,1
34.7,62.6,383,1183,580,27-09-2025 11:02,Fresh,1
34.8,62.6,374,1185,581,27-09-2025 11:07,Fresh,1
34.8,62.6,392,1149,590,27-09-2025 11:12,Fresh,1
34.8,62.5,400,1152,596,27-09-2025 11:17,Fresh,1
34.8,62.9,418,1168,613,27-09-2025 11:22,Fresh,1
34.8,62.8,459,1167,643,27-09-2025 11:27,Fresh,1
34.8,63,432,1305,614,27-09-2025 11:32,Fresh,1
34.9,62.6,432,1320,621,27-09-2025 11:37,Fresh,1
34.9,62.8,433,1322,619,27-09-2025 11:42,Fresh,1
34.9,62.4,432,1322,614,27-09-2025 11:47,Fresh,1
34.9,62.4,499,1155,677,27-09-2025 11:52,Fresh,1
34.9,62.6,498,1145,688,27-09-2025 11:57,Fresh,1
35,62.6,511,1154,695,27-09-2025 12:02,Fresh,1
35,62.8,676,1169,839,27-09-2025 12:07,Fresh,1
35,62.8,684,1174,830,27-09-2025 12:12,Fresh,1
35,62.9,687,1185,831,27-09-2025 12:17,Fresh,1
35.1,62.8,590,1193,736,27-09-2025 12:22,Fresh,1
35.1,62.6,599,1205,757,27-09-2025 12:27,Fresh,1
35.1,62.6,631,1234,796,27-09-2025 12:32,Fresh,1
35.1,62.6,670,1249,832,27-09-2025 12:38,Fresh,1
35.1,62.7,676,1264,844,27-09-2025 12:43,Fresh,1
35.1,62.8,683,1271,848,27-09-2025 12:48,Fresh,1
35.1,62.9,688,1277,858,27-09-2025 12:53,Fresh,1
35.1,63,694,1277,867,27-09-2025 12:58,Fresh,1
35.1,63.2,694,1278,877,27-09-2025 13:03,Fresh,1
35.2,64.7,684,1253,875,27-09-2025 13:08,Fresh,1
35.2,65.8,689,1254,889,27-09-2025 13:13,Fresh,1
35.2,66.5,612,1255,816,27-09-2025 13:18,Fresh,1
35.2,66.6,624,1261,832,27-09-2025 13:23,Fresh,1
35.1,66,631,1265,835,27-09-2025 13:28,Fresh,1
35,65.9,720,1261,925,27-09-2025 13:33,Fresh,1
34.7,65.5,389,511,621,27-09-2025 13:34,Fresh,1
34.9,65.6,460,1142,688,27-09-2025 13:39,Fresh,1
35,65.3,451,1154,676,27-09-2025 13:44,Fresh,1
35.1,64.6,446,1104,669,27-09-2025 13:49,Fresh,1
35.1,64.3,444,1107,661,27-09-2025 13:54,Fresh,1
35.1,64.4,438,1110,657,27-09-2025 13:59,Fresh,1
35.1,64.2,435,1088,659,27-09-2025 14:04,Fresh,1
35.1,64.3,446,1105,668,27-09-2025 14:09,Fresh,1
35.2,64.2,438,1078,665,27-09-2025 14:14,Fresh,1
35.2,64.1,448,1130,670,27-09-2025 14:19,Fresh,1
35.2,63.8,445,1106,667,27-09-2025 14:24,Fresh,1
35.2,63.6,446,1104,673,27-09-2025 14:29,Fresh,1
35.2,63.1,449,1097,673,27-09-2025 14:34,Fresh,1
35.2,63.2,448,1085,670,27-09-2025 14:39,Fresh,1
35.2,63.3,448,1098,669,27-09-2025 14:44,Fresh,1
35.2,63.2,448,1108,681,27-09-2025 14:49,Fresh,1
35.3,63.2,447,1123,678,27-09-2025 14:54,Fresh,1
35.3,63,449,1104,673,27-09-2025 14:59,Fresh,1
35.3,62.9,449,1103,681,27-09-2025 15:04,Fresh,1
35.3,62.7,445,1110,678,27-09-2025 15:09,Fresh,1
35.3,62.8,448,1101,685,27-09-2025 15:14,Fresh,1
35.4,63.3,466,1107,699,27-09-2025 15:19,Fresh,1
35.5,62.1,459,1092,687,27-09-2025 15:24,Fresh,1
35.4,62.5,459,1089,695,27-09-2025 15:29,Fresh,1
35.5,62.6,464,1088,703,27-09-2025 15:34,Fresh,1
35.5,62.2,487,1152,707,27-09-2025 15:39,Fresh,1
35.5,62.4,494,1104,707,27-09-2025 15:45,Fresh,1
35.5,62.3,489,1076,708,27-09-2025 15:50,Fresh,1
35.5,62.2,495,1110,705,27-09-2025 15:55,Fresh,1
35.6,62.1,496,1130,705,27-09-2025 16:00,Fresh,1
35.6,62.2,495,1106,712,27-09-2025 16:05,Fresh,1
35.6,62,495,1129,707,27-09-2025 16:10,Fresh,1
35.6,62,494,1110,706,27-09-2025 16:15,Fresh,1
35.6,62,491,1105,710,27-09-2025 16:20,Fresh,1
35.7,61.8,482,1069,702,27-09-2025 16:25,Fresh,1
35.7,62,495,1106,720,27-09-2025 16:30,Fresh,1
35.7,61.8,496,1104,722,27-09-2025 16:35,Fresh,1
35.7,61.7,511,1114,731,27-09-2025 16:40,Fresh,1
35.7,61.7,496,1150,727,27-09-2025 16:45,Fresh,1
35.8,61.7,511,1111,739,27-09-2025 16:50,Fresh,1
35.8,61.6,524,1141,750,27-09-2025 16:55,Fresh,1
35.8,61.5,535,1168,755,27-09-2025 17:00,Fresh,1
35.8,61.5,532,1126,754,27-09-2025 17:05,Fresh,1
35.8,61.7,532,1141,759,27-09-2025 17:10,Fresh,1
35.8,61.6,537,1161,768,27-09-2025 17:15,Fresh,1
35.9,61.6,541,1154,774,27-09-2025 17:20,Fresh,1
35.9,61.6,528,1190,760,27-09-2025 17:25,Fresh,1
35.9,61.6,543,1202,781,27-09-2025 17:30,Fresh,1
35.9,61.8,563,1206,813,27-09-2025 17:35,Fresh,1
35.9,61.8,595,1279,838,27-09-2025 17:40,Fresh,1
36,61.9,624,1311,877,27-09-2025 17:45,Fresh,1
36,61.6,637,1341,880,27-09-2025 17:50,Fresh,1
36,62.2,624,1313,879,27-09-2025 17:55,Fresh,1
36,61.7,624,1355,870,27-09-2025 18:00,Fresh,1
36,61.6,622,1282,865,27-09-2025 18:05,Fresh,1
36,62,641,1305,895,27-09-2025 18:10,Fresh,1
36.1,62.4,656,1330,919,27-09-2025 18:15,Fresh,1
36.1,61.8,661,1389,919,27-09-2025 18:20,Fresh,1
36,61.6,623,1307,871,27-09-2025 18:31,Fresh,1
35.8,61.9,581,1283,834,27-09-2025 18:36,Fresh,1
35.8,61.9,586,1311,806,27-09-2025 18:41,Fresh,1
35.8,62.4,491,1233,859,27-09-2025 18:46,Fresh,1
35.8,62.5,496,1273,866,27-09-2025 18:51,Fresh,1
35.8,62.6,502,1221,870,27-09-2025 18:56,Fresh,1
35.9,62.6,530,1276,879,27-09-2025 19:01,Fresh,1
35.9,62.7,539,1300,914,27-09-2025 19:06,Fresh,1
35.9,63.1,560,1327,941,27-09-2025 19:11,Fresh,1
35.8,62.8,563,1312,949,27-09-2025 19:16,Fresh,1
35.8,62.3,576,1346,947,27-09-2025 19:21,Fresh,1
35.8,62.6,576,1367,967,27-09-2025 19:26,Fresh,1
35.8,62.4,583,1374,964,27-09-2025 19:31,Fresh,1
35.8,62.1,578,1360,959,27-09-2025 19:36,Fresh,1
35.8,62.3,604,1423,998,27-09-2025 19:41,Fresh,1
35.8,62,614,1417,999,27-09-2025 19:46,Fresh,1
35.8,62,605,1421,977,27-09-2025 19:51,Fresh,1
35.8,62,605,1423,982,27-09-2025 19:56,Fresh,1
35.9,62,601,1397,975,27-09-2025 20:01,Fresh,1
35.9,61.8,592,1392,960,27-09-2025 20:06,Fresh,1
35.9,61.9,592,1378,949,27-09-2025 20:11,Fresh,1
35.9,62,592,1344,955,27-09-2025 20:16,Fresh,1
35.9,61.6,586,1417,969,27-09-2025 20:21,Fresh,1
35.8,61.7,570,1477,943,27-09-2025 20:26,Fresh,1
35.7,61.1,560,1408,912,27-09-2025 20:31,Fresh,1
35.7,61.7,549,1456,915,27-09-2025 20:36,Fresh,1
35.8,61.8,562,1488,944,27-09-2025 20:41,Fresh,1
35.8,61.8,566,1507,957,27-09-2025 20:46,Fresh,1
35.8,61.7,563,1499,955,27-09-2025 20:51,Fresh,1
35.8,61.8,567,1510,970,27-09-2025 20:56,Fresh,1
35.9,61.9,576,1443,992,27-09-2025 21:02,Fresh,1
35.8,61.6,561,1509,976,27-09-2025 21:07,Fresh,1
35.9,61.6,574,1475,976,27-09-2025 21:12,Fresh,1
35.9,61.7,563,1472,977,27-09-2025 21:17,Fresh,1
35.9,61.5,563,1477,981,27-09-2025 21:22,Fresh,1
35.9,60.9,559,1429,949,27-09-2025 21:27,Fresh,1
35.9,61.2,547,1398,934,27-09-2025 21:32,Fresh,1
35.9,61.3,560,1390,955,27-09-2025 21:37,Fresh,1
35.9,61.5,566,1405,971,27-09-2025 21:42,Fresh,1
36,61.4,575,1472,982,27-09-2025 21:47,Fresh,1
36,61.5,583,1495,1007,27-09-2025 21:52,Fresh,1
36,61.5,593,1518,1020,27-09-2025 21:57,Fresh,1
36,61.5,601,1517,1045,27-09-2025 22:02,Fresh,1
36.1,61.8,618,1483,1094,27-09-2025 22:07,Fresh,1
