temperature,humidity,voc,ammonia,alcohol,timestamp,Stage,cycle_id
31.8,86.1,298,1568,621,14-09-2025 09:30,Fresh,1
31.2,89.8,115,530,339,14-09-2025 09:35,Fresh,1
31.8,85.1,304,1586,725,14-09-2025 09:40,Fresh,1
32.3,86.4,309,1662,735,14-09-2025 09:45,Fresh,1
32.9,85.3,304,1744,684,14-09-2025 09:50,Fresh,1
32.8,82.9,288,1595,656,14-09-2025 09:55,Fresh,1
32.9,82.4,287,1602,654,14-09-2025 10:00,Fresh,1
33,82.8,291,1632,673,14-09-2025 10:05,Fresh,1
33.1,83.4,289,1628,647,14-09-2025 10:10,Fresh,1
33.2,83.3,298,1669,709,14-09-2025 10:16,Fresh,1
33,83.2,155,657,501,14-09-2025 10:17,Fresh,1
33,83.6,221,1040,686,14-09-2025 10:18,Fresh,1
33.2,83,304,1648,675,14-09-2025 10:23,Fresh,1
33.3,82.6,305,1680,716,14-09-2025 10:28,Fresh,1
33.4,82.4,313,1678,707,14-09-2025 10:33,Fresh,1
33.5,82.2,321,1718,751,14-09-2025 10:38,Fresh,1
33.5,82.1,321,1708,740,14-09-2025 10:43,Fresh,1
33.6,81.8,322,1712,732,14-09-2025 10:48,Fresh,1
33.6,82,330,1728,744,14-09-2025 10:53,Fresh,1
33.6,81.9,326,1724,706,14-09-2025 10:58,Fresh,1
33.6,81.4,322,1733,749,14-09-2025 11:03,Fresh,1
33.6,81.6,314,1655,755,14-09-2025 11:08,Fresh,1
33.6,81.2,323,1716,706,14-09-2025 11:13,Fresh,1
33.6,81.5,321,1697,781,14-09-2025 11:18,Fresh,1
33.6,81.8,317,1664,748,14-09-2025 11:24,Fresh,1
33.6,81.7,321,1710,688,14-09-2025 11:29,Fresh,1
33.6,81.7,320,1681,775,14-09-2025 11:34,Fresh,1
33.6,81.6,322,1721,723,14-09-2025 11:39,Fresh,1
33.5,80.8,324,1706,745,14-09-2025 11:44,Fresh,1
33.6,81.3,315,1719,787,14-09-2025 11:49,Fresh,1
33.7,81.2,325,1734,774,14-09-2025 11:54,Fresh,1
33.7,81.1,322,1744,798,14-09-2025 11:59,Fresh,1
33.7,81.3,327,1744,791,14-09-2025 12:04,Fresh,1
33.7,81.2,324,1726,768,14-09-2025 12:09,Fresh,1
33.7,81.1,331,1744,787,14-09-2025 12:14,Fresh,1
33.7,81,334,1738,767,14-09-2025 12:19,Fresh,1
33.7,81,335,1767,733,14-09-2025 12:24,Fresh,1
33.7,80.9,330,1725,750,14-09-2025 12:29,Fresh,1
33.7,80.9,327,1716,795,14-09-2025 12:34,Fresh,1
33.7,80.9,326,1732,782,14-09-2025 12:40,Fresh,1
33.7,81,333,1772,770,14-09-2025 12:45,Fresh,1
33.8,80.9,332,1744,806,14-09-2025 12:50,Fresh,1
33.7,81.1,321,1677,701,14-09-2025 12:55,Fresh,1
33.8,81.2,335,1750,763,14-09-2025 13:00,Fresh,1
33.8,81,335,1758,784,14-09-2025 13:05,Fresh,1
33.8,80.8,341,1758,811,14-09-2025 13:10,Fresh,1
33.8,81.3,351,1792,776,14-09-2025 13:15,Fresh,1
33.9,81.3,346,1766,775,14-09-2025 13:20,Fresh,1
33.9,81.3,348,1797,830,14-09-2025 13:25,Fresh,1
33.9,81.1,352,1767,781,14-09-2025 13:30,Fresh,1
33.9,81,349,1782,822,14-09-2025 13:35,Fresh,1
33.9,77.8,325,1699,705,14-09-2025 13:40,Fresh,1
33.5,81.4,336,1629,723,14-09-2025 13:45,Fresh,1
33.7,80.8,340,1661,757,14-09-2025 13:50,Fresh,1
33.8,80.3,342,1719,814,14-09-2025 13:55,Fresh,1
33.9,80.2,345,1715,831,14-09-2025 14:01,Fresh,1
33.9,80.3,350,1681,832,14-09-2025 14:06,Fresh,1
33.9,80,354,1737,814,14-09-2025 14:11,Fresh,1
33.9,80,358,1767,797,14-09-2025 14:16,Fresh,1
34,79.8,358,1792,848,14-09-2025 14:21,Fresh,1
